BJD - 2454833, Corrected Flux
2988.521553573, 1.000269873,
2988.541985872, 1.000284426,
2988.562418271, 0.999863433,
2988.582850768, 0.999381236,
2988.603283065, 0.999876455,
2988.623715462, 0.999004778,
2988.644147858, 0.999297837,
2988.664580253, 0.999004009,
2988.685012748, 0.998879109,
2988.705445042, 0.998645030,
2988.725877436, 0.998196362,
2988.766742221, 0.998710966,
2988.787174613, 0.998279535,
2988.807607104, 0.998316355,
2988.828039495, 0.998163981,
2988.848471785, 0.998297198,
2988.868904274, 0.997846325,
2988.889336663, 0.997735356,
2988.909768951, 0.997611685,
2988.930201439, 0.997617175,
2988.950633826, 0.997704686,
2988.971066112, 0.997277698,
2989.011930983, 0.997664169,
2989.032363268, 0.997639265,
2989.052795752, 0.997289467,
2989.073228136, 0.997302981,
2989.093660418, 0.997222608,
2989.114092901, 0.997010280,
2989.134525282, 0.996882610,
2989.154957763, 0.996976821,
2989.175390044, 0.996665622,
2989.195822424, 0.996549494,
2989.216254903, 0.996719237,
2989.236687182, 0.996750348,
2989.257119560, 0.996332325,
2989.277552038, 0.996270441,
2989.297984415, 0.996253356,
2989.318416691, 0.996310205,
2989.338849167, 0.996310658,
2989.359281542, 0.996386946,
2989.379713817, 0.996337852,
2989.400146291, 0.996670566,
2989.420578564, 0.996579505,
2989.441010937, 0.996214815,
2989.461443409, 0.996132467,
2989.502308052, 0.996294528,
2989.522740523, 0.995951999,
2989.543172792, 0.996040560,
2989.563605162, 0.995886252,
2989.584037630, 0.995865502,
2989.604469899, 0.995962836,
2989.624902266, 0.995789067,
2989.645334733, 0.995559634,
2989.665767100, 0.995563184,
2989.686199466, 0.995289047,
2989.706631831, 0.995534807,
2989.747496559, 0.995069274,
2989.767928923, 0.995359172,
2989.788361285, 0.995262844,
2989.808793748, 0.995146180,
2989.829226009, 0.995146043,
2989.849658371, 0.995197703,
2989.870090831, 0.995188490,
2989.890523091, 0.995046565,
2989.910955451, 0.995092742,
2989.931387909, 0.995061188,
2989.951820167, 0.995067603,
2989.972252525, 0.995107163,
2989.992684982, 0.994824675,
2990.013117239, 0.995103470,
2990.033549594, 0.995117714,
2990.053981950, 0.994777331,
2990.074414304, 0.994865035,
2990.094846658, 0.994686196,
2990.115279012, 0.994670775,
2990.135711365, 0.994782001,
2990.156143717, 0.994874632,
2990.176576169, 0.994917081,
2990.197008420, 0.994796213,
2990.237873221, 0.994234707,
2990.258305470, 0.994265185,
2990.278737819, 0.992797441,
2990.299170268, 0.985848735,
2990.319602515, 0.984220829,
2990.340034862, 0.984171406,
2990.360467309, 0.984036239,
2990.380899555, 0.984029298,
2990.401331900, 0.984403311,
2990.421764345, 0.985108388,
2990.442196589, 0.990034455,
2990.483061376, 0.994018113,
2990.503493718, 0.993840289,
2990.523926060, 0.993838246,
2990.544358402, 0.993583282,
2990.564790742, 0.993452376,
2990.585223082, 0.993623963,
2990.605655422, 0.993601802,
2990.626087761, 0.993345626,
2990.646520199, 0.993407129,
2990.666952437, 0.993150030,
2990.687384774, 0.993454783,
2990.707817211, 0.993165729,
2990.728249447, 0.993290215,
2990.748681783, 0.993208199,
2990.769114218, 0.993417679,
2990.789546452, 0.993318341,
2990.809978786, 0.993440474,
2990.830411119, 0.993183538,
2990.850843452, 0.993316549,
2990.871275784, 0.993626306,
2990.891708115, 0.993448862,
2990.912140446, 0.993551024,
2990.932572777, 0.993232010,
2990.973437436, 0.992897944,
2990.993869764, 0.992829461,
2991.014302192, 0.993095334,
2991.034734419, 0.993104121,
2991.055166747, 0.993193564,
2991.075599173, 0.993042718,
2991.096031399, 0.993040358,
2991.116463724, 0.993207717,
2991.136896148, 0.993181050,
2991.157328372, 0.993204774,
2991.177760696, 0.993108920,
2991.218625341, 0.993393497,
2991.239057663, 0.992993648,
2991.259490084, 0.993276652,
2991.279922304, 0.993351185,
2991.300354624, 0.993382683,
2991.320787044, 0.993570112,
2991.341219363, 0.993446575,
2991.361651581, 0.993247206,
2991.382083999, 0.993433233,
2991.402516316, 0.993298025,
2991.422948632, 0.993265077,
2991.463813264, 0.993170993,
2991.484245679, 0.993232096,
2991.504677893, 0.993350144,
2991.525110207, 0.993169852,
2991.545542520, 0.992958170,
2991.565974833, 0.993265518,
2991.586407145, 0.993255378,
2991.606839456, 0.993084797,
2991.627271767, 0.993250720,
2991.647703977, 0.993042387,
2991.668136387, 0.992911878,
2991.688568696, 0.993173707,
2991.709001004, 0.994227653,
2991.729433313, 0.993029358,
2991.749865620, 0.993190967,
2991.770297927, 0.993267154,
2991.811162539, 0.993281063,
2991.831594844, 0.993341314,
2991.852027249, 0.993217163,
2991.872459453, 0.993499204,
2991.892891756, 0.993424979,
2991.913324159, 0.993217267,
2991.954188663, 0.992817955,
2991.974621064, 0.992852506,
2991.995053265, 0.992948304,
2992.015485565, 0.992967191,
2992.035917964, 0.992965193,
2992.056350163, 0.993162664,
2992.076782462, 0.993137922,
2992.097214860, 0.993166945,
2992.117647057, 0.993334880,
2992.138079353, 0.993183364,
2992.158511750, 0.993342381,
2992.178944045, 0.993802614,
2992.199376240, 0.993136829,
2992.219808634, 0.993006759,
2992.240240928, 0.993128109,
2992.260673121, 0.993121809,
2992.281105514, 0.993056815,
2992.301537806, 0.993121877,
2992.321969998, 0.993284881,
2992.342402389, 0.993423204,
2992.362834679, 0.993190221,
2992.383266869, 0.993151580,
2992.403699259, 0.993166039,
2992.444563736, 0.993073963,
2992.464996123, 0.992770377,
2992.485428310, 0.992774752,
2992.505860597, 0.992819495,
2992.526292983, 0.992968723,
2992.546725268, 0.992828595,
2992.567157453, 0.992890302,
2992.587589837, 0.992727663,
2992.608022121, 0.992819716,
2992.628454304, 0.992807787,
2992.648886687, 0.992805202,
2992.669318969, 0.992429207,
2992.689751350, 0.992674757,
2992.710183531, 0.992683792,
2992.730615812, 0.992665779,
2992.751048191, 0.992827648,
2992.771480370, 0.992746650,
2992.791912649, 0.992735779,
2992.812345027, 0.992925436,
2992.832777205, 0.992859472,
2992.853209482, 0.992838666,
2992.873641858, 0.992943805,
2992.894074034, 0.992991860,
2992.934938684, 0.983314377,
2992.955370858, 0.982476592,
2992.975803132, 0.981893738,
2992.996235505, 0.981822838,
2993.016667777, 0.981828931,
2993.037099949, 0.982581666,
2993.057532321, 0.983824506,
2993.077964592, 0.991021530,
2993.098396762, 0.992369817,
2993.118829132, 0.992454714,
2993.139261301, 0.992616048,
2993.159693570, 0.993022738,
2993.180125938, 0.992725359,
2993.200558105, 0.992604781,
2993.220990372, 0.992430296,
2993.241422738, 0.992770839,
2993.261854904, 0.992648842,
2993.282287170, 0.992487700,
2993.302719534, 0.992640568,
2993.323151699, 0.992740318,
2993.364016325, 0.992664247,
2993.384448588, 0.992601896,
2993.425313111, 0.992576077,
2993.445745372, 0.992931071,
2993.466177532, 0.992990577,
2993.486609892, 0.992857969,
2993.507042151, 0.992756800,
2993.527474310, 0.992765500,
2993.547906668, 0.992931389,
2993.568338925, 0.992966209,
2993.588771082, 0.993005033,
2993.609203439, 0.993128484,
2993.629635695, 0.992874760,
2993.670500205, 0.992835733,
2993.690932459, 0.993011758,
2993.711364713, 0.992813627,
2993.731796966, 0.992854217,
2993.752229218, 0.992847592,
2993.772661471, 0.993028694,
2993.793093722, 0.993027881,
2993.813525973, 0.993103775,
2993.833958223, 0.993160202,
2993.854390573, 0.993121617,
2993.874822722, 0.993199731,
2993.895255071, 0.993244343,
2993.915687219, 0.993187084,
2993.936119467, 0.993220189,
2993.956551814, 0.993482037,
2993.976983960, 0.993337007,
2993.997416206, 0.993198195,
2994.017848552, 0.992960800,
2994.038280697, 0.992882811,
2994.058712941, 0.992921856,
2994.079145285, 0.993101833,
2994.099577428, 0.992987410,
2994.120009671, 0.993108511,
2994.140442013, 0.993160428,
2994.160874154, 0.992989268,
2994.181306395, 0.993037711,
2994.201738736, 0.993099004,
2994.222170976, 0.992895425,
2994.242603115, 0.992770008,
2994.263035454, 0.993101812,
2994.283467692, 0.992673383,
2994.303899830, 0.992953406,
2994.324332167, 0.993041543,
2994.344764404, 0.992757395,
2994.365196540, 0.992930841,
2994.406061111, 0.992650434,
2994.426493245, 0.992797230,
2994.446925579, 0.992908175,
2994.467357812, 0.992696181,
2994.487789945, 0.992754372,
2994.508222278, 0.992922279,
2994.528654509, 0.992960588,
2994.549086740, 0.992923347,
2994.569518971, 0.992883618,
2994.589951201, 0.992978837,
2994.610383431, 0.992969964,
2994.630815660, 0.993104999,
2994.651247889, 0.992773399,
2994.671680016, 0.992781794,
2994.692112344, 0.992874600,
2994.712544571, 0.992596903,
2994.732976697, 0.992720866,
2994.753409023, 0.992831536,
2994.773841248, 0.992769386,
2994.794273373, 0.992743682,
2994.814705697, 0.992560983,
2994.835137921, 0.992847677,
2994.855570044, 0.992555191,
2994.876002366, 0.992566257,
2994.896434588, 0.992666103,
2994.916866710, 0.992717487,
2994.937299031, 0.992660146,
2994.957731251, 0.992709610,
2994.978163471, 0.992692955,
2994.998595691, 0.992555991,
2995.019027909, 0.992873560,
2995.039460127, 0.992680440,
2995.059892445, 0.992830982,
2995.080324562, 0.992517817,
2995.100756779, 0.992498175,
2995.121189095, 0.992579078,
2995.141621210, 0.992548513,
